# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.3654135338	0.2956235163	0.4029947279	1.363202539	1.016944071	1.016617028
0.3684210526	0.2956640562	0.4030489429	1.36319899	1.017083528	1.016753794
0.3714285714	0.2957045962	0.4031031578	1.363195442	1.017222986	1.01689056
0.3744360902	0.2957451362	0.4031573728	1.363191895	1.017362443	1.017027325
0.377443609	0.2957856761	0.4032115877	1.36318835	1.0175019	1.017164091
0.3804511278	0.2958262161	0.4032658027	1.363184805	1.017641358	1.017300857
0.3834586466	0.2958667561	0.4033200176	1.363181261	1.017780815	1.017437622
0.3864661654	0.2959072961	0.4033742326	1.363177718	1.017920272	1.017574388
0.3894736842	0.295947836	0.4034284475	1.363174176	1.01805973	1.017711154
0.392481203	0.295988376	0.4034826625	1.363170635	1.018199187	1.017847919
0.3954887218	0.296028916	0.4035368774	1.363167095	1.018338645	1.017984685
0.3984962406	0.2960694559	0.4035910924	1.363163556	1.018478102	1.018121451
0.4015037594	0.2961099959	0.4036453073	1.363160018	1.018617559	1.018258216
0.4045112782	0.2961505359	0.4036995223	1.363156481	1.018757017	1.018394982
0.407518797	0.2961910758	0.4037537372	1.363152945	1.018896474	1.018531748
0.4105263158	0.2962316158	0.4038079522	1.36314941	1.019035931	1.018668513
0.4135338346	0.2962721558	0.4038621671	1.363145875	1.019175389	1.018805279
0.4165413534	0.2963126957	0.4039163821	1.363142342	1.019314846	1.018942045
0.4195488722	0.2963532357	0.403970597	1.36313881	1.019454304	1.01907881
0.422556391	0.2963937757	0.404024812	1.363135279	1.019593761	1.019215576
0.4255639098	0.2964343156	0.4040790269	1.363131748	1.019733218	1.019352342
