# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 14.0
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.46153846	-0.5384615385	0.9464284525	1.210384873	1.278897385	3.097873663	2.900673666
-13.46153846	-0.4871794872	0.979190933	1.249123394	1.275668873	3.205112647	2.993510094
-13.46153846	-0.4358974359	1.011953414	1.287861915	1.27264941	3.312351631	3.086346521
-13.46153846	-0.3846153846	1.044715894	1.326600436	1.269819329	3.419590615	3.179182949
-13.46153846	-0.3333333333	1.077478375	1.365338957	1.267161355	3.526829599	3.272019377
-13.46153846	-0.2820512821	1.110240855	1.404077478	1.264660251	3.634068583	3.364855805
-13.46153846	-0.2307692308	1.143003336	1.442815999	1.262302527	3.741307567	3.457692232
-13.46153846	-0.1794871795	1.175765816	1.48155452	1.260076199	3.848546551	3.55052866
-13.46153846	-0.1282051282	1.208528297	1.520293041	1.257970579	3.955785535	3.643365088
-13.46153846	-0.07692307692	1.241290777	1.559031562	1.25597611	4.063024519	3.736201516
-13.46153846	-0.02564102564	1.274053258	1.597770083	1.254084218	4.170263503	3.829037943
-13.46153846	0.02564102564	1.306815738	1.636508604	1.252287186	4.277502487	3.921874371
-13.46153846	0.07692307692	1.339578219	1.675247125	1.250578056	4.38474147	4.014710799
-13.46153846	0.1282051282	1.372340699	1.713985646	1.248950532	4.491980454	4.107547227
-13.46153846	0.1794871795	1.40510318	1.752724167	1.247398904	4.599219438	4.200383654
-13.46153846	0.2307692308	1.437865661	1.791462688	1.245917986	4.706458422	4.293220082
-13.46153846	0.2820512821	1.470628141	1.830201209	1.244503052	4.813697406	4.38605651
-13.46153846	0.3333333333	1.503390622	1.86893973	1.243149787	4.92093639	4.478892938
-13.46153846	0.3846153846	1.536153102	1.907678252	1.241854245	5.028175374	4.571729365
-13.46153846	0.4358974359	1.568915583	1.946416773	1.240612812	5.135414358	4.664565793
-13.46153846	0.4871794872	1.601678063	1.985155294	1.239422165	5.242653342	4.757402221
-13.46153846	0.5384615385	1.634440544	2.023893815	1.238279252	5.349892326	4.850238649
-13.46153846	0.5897435897	1.667203024	2.062632336	1.237181258	5.45713131	4.943075077
-13.46153846	0.641025641	1.699965505	2.101370857	1.236125586	5.564370294	5.035911504
-13.46153846	0.6923076923	1.732727985	2.140109378	1.235109836	5.671609278	5.128747932
-13.46153846	0.7435897436	1.765490466	2.178847899	1.234131784	5.778848262	5.22158436
-13.46153846	0.7948717949	1.798252947	2.21758642	1.233189371	5.886087246	5.314420788
-13.46153846	0.8461538462	1.831015427	2.256324941	1.232280683	5.99332623	5.407257215
-13.46153846	0.8974358974	1.863777908	2.295063462	1.231403942	6.100565213	5.500093643
-13.46153846	0.9487179487	1.896540388	2.333801983	1.230557492	6.207804197	5.592930071
-13.46153846	1	1.929302869	2.372540504	1.22973979	6.315043181	5.685766499
-12.94871795	-1	0.6140451583	0.8160291481	1.32893996	2.009908218	1.955604629
-12.94871795	-0.9487179487	0.6468076388	0.8547676692	1.321517586	2.117147201	2.048441057
-12.94871795	-0.8974358974	0.6795701194	0.8935061902	1.314810885	2.224386185	2.141277485
-12.94871795	-0.8461538462	0.7123325999	0.9322447112	1.308721111	2.331625169	2.234113912
-12.94871795	-0.7948717949	0.7450950805	0.9709832323	1.303166881	2.438864153	2.32695034
-12.94871795	-0.7435897436	0.777857561	1.009721753	1.298080528	2.546103137	2.419786768
-12.94871795	-0.6923076923	0.8106200415	1.048460274	1.29340532	2.653342121	2.512623196
-12.94871795	-0.641025641	0.8433825221	1.087198795	1.289093344	2.760581105	2.605459623
-12.94871795	-0.5897435897	0.8761450026	1.125937316	1.28510385	2.867820089	2.698296051
-12.94871795	-0.5384615385	0.9089074832	1.164675837	1.281401968	2.975059073	2.791132479
