# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.245112782	0.4621038577	0.6024356411	1.303680182	1.512570091	1.443730204
0.2481203008	0.4640252663	0.6047075243	1.303178012	1.518859294	1.449174746
0.2511278195	0.4659466749	0.6069794075	1.302679985	1.525148498	1.454619289
0.2541353383	0.4678680836	0.6092512906	1.302186048	1.531437702	1.460063831
0.2571428571	0.4697894922	0.6115231738	1.301696151	1.537726905	1.465508373
0.2601503759	0.4717109008	0.613795057	1.301210245	1.544016109	1.470952916
0.2631578947	0.4736323095	0.6160669402	1.300728282	1.550305312	1.476397458
0.2661654135	0.4755537181	0.6183388234	1.300250213	1.556594516	1.481842001
0.2691729323	0.4774751267	0.6206107066	1.299775992	1.562883719	1.487286543
0.2721804511	0.4793965354	0.6228825898	1.299305572	1.569172923	1.492731085
0.2751879699	0.481317944	0.625154473	1.298838908	1.575462127	1.498175628
0.2781954887	0.4832393526	0.6274263562	1.298375955	1.58175133	1.50362017
0.2812030075	0.4851607613	0.6296982393	1.297916669	1.588040534	1.509064712
0.2842105263	0.4870821699	0.6319701225	1.297461007	1.594329737	1.514509255
0.2872180451	0.4890035785	0.6342420057	1.297008925	1.600618941	1.519953797
0.2902255639	0.4909249872	0.6365138889	1.296560382	1.606908144	1.52539834
0.2932330827	0.4928463958	0.6387857721	1.296115336	1.613197348	1.530842882
0.2962406015	0.4947678044	0.6410576553	1.295673747	1.619486552	1.536287424
0.2992481203	0.4966892131	0.6433295385	1.295235575	1.625775755	1.541731967
0.3022556391	0.4986106217	0.6456014217	1.29480078	1.632064959	1.547176509
0.3052631579	0.5005320303	0.6478733048	1.294369322	1.638354162	1.552621052
0.3082706767	0.502453439	0.650145188	1.293941165	1.644643366	1.558065594
0.3112781955	0.5043748476	0.6524170712	1.293516269	1.650932569	1.563510136
0.3142857143	0.5062962562	0.6546889544	1.293094599	1.657221773	1.568954679
0.3172932331	0.5082176649	0.6569608376	1.292676117	1.663510977	1.574399221
0.3203007519	0.5101390735	0.6592327208	1.292260787	1.66980018	1.579843763
0.3233082707	0.5120604821	0.661504604	1.291848575	1.676089384	1.585288306
0.3263157895	0.5139818908	0.6637764872	1.291439444	1.682378587	1.590732848
0.3293233083	0.5159032994	0.6660483704	1.291033361	1.688667791	1.596177391
0.3323308271	0.517824708	0.6683202535	1.290630291	1.694956994	1.601621933
0.3353383459	0.5197461167	0.6705921367	1.290230201	1.701246198	1.607066475
0.3383458647	0.5216675253	0.6728640199	1.289833059	1.707535402	1.612511018
0.3413533835	0.5235889339	0.6751359031	1.289438831	1.713824605	1.61795556
