# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.5729323308	0.3136576428	0.4281836508	1.365130615	1.026672168	1.026137279
0.5759398496	0.3137004175	0.4282409027	1.365126977	1.026812179	1.026274482
0.5789473684	0.3137431923	0.4282981546	1.36512334	1.026952191	1.026411686
0.5819548872	0.313785967	0.4283554065	1.365119704	1.027092202	1.02654889
0.584962406	0.3138287418	0.4284126584	1.365116069	1.027232213	1.026686093
0.5879699248	0.3138715165	0.4284699103	1.365112435	1.027372225	1.026823297
0.5909774436	0.3139142913	0.4285271622	1.365108803	1.027512236	1.0269605
0.5939849624	0.313957066	0.4285844142	1.365105171	1.027652247	1.027097704
0.5969924812	0.3139998408	0.4286416661	1.36510154	1.027792259	1.027234907
0.6	0.3140426155	0.428698918	1.36509791	1.02793227	1.027372111
0.6030075188	0.3140853902	0.4287561699	1.365094281	1.028072282	1.027509315
0.6060150376	0.314128165	0.4288134218	1.365090653	1.028212293	1.027646518
0.6090225564	0.3141709397	0.4288706737	1.365087026	1.028352304	1.027783722
0.6120300752	0.3142137145	0.4289279256	1.3650834	1.028492316	1.027920925
0.615037594	0.3142564892	0.4289851775	1.365079775	1.028632327	1.028058129
0.6180451128	0.314299264	0.4290424295	1.365076151	1.028772338	1.028195332
0.6210526316	0.3143420387	0.4290996814	1.365072528	1.02891235	1.028332536
0.6240601504	0.3143848134	0.4291569333	1.365068906	1.029052361	1.028469739
0.6270676692	0.3144275882	0.4292141852	1.365065285	1.029192373	1.028606943
0.630075188	0.3144703629	0.4292714371	1.365061665	1.029332384	1.028744147
0.6330827068	0.3145131377	0.429328689	1.365058046	1.029472395	1.02888135
0.6360902256	0.3145559124	0.4293859409	1.365054427	1.029612407	1.029018554
0.6390977444	0.3145986872	0.4294431929	1.36505081	1.029752418	1.029155757
0.6421052632	0.3146414619	0.4295004448	1.365047194	1.029892429	1.029292961
0.645112782	0.3146842367	0.4295576967	1.365043579	1.030032441	1.029430164
0.6481203008	0.3147270114	0.4296149486	1.365039965	1.030172452	1.029567368
0.6511278195	0.3147697861	0.4296722005	1.365036352	1.030312464	1.029704572
0.6541353383	0.3148125609	0.4297294524	1.36503274	1.030452475	1.029841775
0.6571428571	0.3148553356	0.4297867043	1.365029128	1.030592486	1.029978979
0.6601503759	0.3148981104	0.4298439563	1.365025518	1.030732498	1.030116182
0.6631578947	0.3149408851	0.4299012082	1.365021909	1.030872509	1.030253386
0.6661654135	0.3149836599	0.4299584601	1.365018301	1.031012521	1.030390589
0.6691729323	0.3150264346	0.430015712	1.365014693	1.031152532	1.030527793
0.6721804511	0.3150692094	0.4300729639	1.365011087	1.031292543	1.030664996
0.6751879699	0.3151119841	0.4301302158	1.365007482	1.031432555	1.0308022
0.6781954887	0.3151547588	0.4301874677	1.365003877	1.031572566	1.030939404
0.6812030075	0.3151975336	0.4302447196	1.365000274	1.031712577	1.031076607
0.6842105263	0.3152403083	0.4303019716	1.364996671	1.031852589	1.031213811
0.6872180451	0.3152830831	0.4303592235	1.36499307	1.0319926	1.031351014
0.6902255639	0.3153258578	0.4304164754	1.36498947	1.032132612	1.031488218
0.6932330827	0.3153686326	0.4304737273	1.36498587	1.032272623	1.031625421
0.6962406015	0.3154114073	0.4305309792	1.364982272	1.032412634	1.031762625
0.6992481203	0.315454182	0.4305882311	1.364978674	1.032552646	1.031899829
0.7022556391	0.3154969568	0.430645483	1.364975077	1.032692657	1.032037032
0.7052631579	0.3155397315	0.430702735	1.364971482	1.032832668	1.032174236
0.7082706767	0.3155825063	0.4307599869	1.364967887	1.03297268	1.032311439
0.7112781955	0.315625281	0.4308172388	1.364964294	1.033112691	1.032448643
0.7142857143	0.3156680558	0.4308744907	1.364960701	1.033252703	1.032585846
0.7172932331	0.3157108305	0.4309317426	1.364957109	1.033392714	1.03272305
0.7203007519	0.3157536053	0.4309889945	1.364953519	1.033532725	1.032860253
0.7233082707	0.31579638	0.4310462464	1.364949929	1.033672737	1.032997457
0.7263157895	0.3158391547	0.4311034983	1.36494634	1.033812748	1.033134661
0.7293233083	0.3158819295	0.4311607503	1.364942752	1.033952759	1.033271864
0.7323308271	0.3159247042	0.4312180022	1.364939166	1.034092771	1.033409068
0.7353383459	0.315967479	0.4312752541	1.36493558	1.034232782	1.033546271
0.7383458647	0.3160102537	0.431332506	1.364931995	1.034372794	1.033683475
0.7413533835	0.3160530285	0.4313897579	1.364928411	1.034512805	1.033820678
0.7443609023	0.3160958032	0.4314470098	1.364924828	1.034652816	1.033957882
0.7473684211	0.316138578	0.4315042617	1.364921246	1.034792828	1.034095086
0.7503759398	0.3161813527	0.4315615137	1.364917665	1.034932839	1.034232289
0.7533834586	0.3162241274	0.4316187656	1.364914085	1.03507285	1.034369493
0.7563909774	0.3162669022	0.4316760175	1.364910506	1.035212862	1.034506696
0.7593984962	0.3163096769	0.4317332694	1.364906928	1.035352873	1.0346439
0.762406015	0.3163524517	0.4317905213	1.364903351	1.035492885	1.034781103
0.7654135338	0.3163952264	0.4318477732	1.364899775	1.035632896	1.034918307
0.7684210526	0.3164380012	0.4319050251	1.364896199	1.035772907	1.035055511
0.7714285714	0.3164807759	0.4319622771	1.364892625	1.035912919	1.035192714
0.7744360902	0.3165235506	0.432019529	1.364889052	1.03605293	1.035329918
0.777443609	0.3165663254	0.4320767809	1.36488548	1.036192942	1.035467121
0.7804511278	0.3166091001	0.4321340328	1.364881908	1.036332953	1.035604325
