# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.09423558897	0.3844821206	0.462265177	1.202306043	1.295793893	1.29141594
0.09749373434	0.3875166052	0.4658717427	1.202198142	1.30602081	1.301491491
0.1007518797	0.3905510898	0.4694783084	1.202091918	1.316247726	1.311567042
0.1040100251	0.3935855743	0.4730848741	1.201987331	1.326474643	1.321642593
0.1072681704	0.3966200589	0.4766914398	1.201884345	1.33670156	1.331718145
0.1105263158	0.3996545434	0.4802980055	1.201782923	1.346928476	1.341793696
0.1137844612	0.402689028	0.4839045712	1.20168303	1.357155393	1.351869247
0.1170426065	0.4057235125	0.4875111369	1.20158463	1.367382309	1.361944798
0.1203007519	0.4087579971	0.4911177026	1.201487692	1.377609226	1.372020349
0.1235588972	0.4117924816	0.4947242682	1.201392183	1.387836142	1.3820959
0.1268170426	0.4148269662	0.4983308339	1.20129807	1.398063059	1.392171451
0.130075188	0.4178614507	0.5019373996	1.201205325	1.408289975	1.402247002
0.1333333333	0.4208959353	0.5055439653	1.201113917	1.418516892	1.412322553
