# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-1.691729323	0.4228894852	0.5097162839	1.205317942	1.425235617	1.423978631
-1.646616541	0.4195248454	0.5056692417	1.205338009	1.413896001	1.412672534
-1.601503759	0.4161602055	0.5016221995	1.2053584	1.402556384	1.401366437
-1.556390977	0.4127955657	0.4975751572	1.205379124	1.391216768	1.390060341
-1.511278195	0.4094309258	0.493528115	1.205400188	1.379877151	1.378754244
-1.466165414	0.4060662859	0.4894810728	1.205421602	1.368537535	1.367448147
-1.421052632	0.4027016461	0.4854340305	1.205443373	1.357197919	1.35614205
-1.37593985	0.3993370062	0.4813869883	1.205465511	1.345858302	1.344835953
-1.330827068	0.3959723664	0.4773399461	1.205488025	1.334518686	1.333529856
-1.285714286	0.3926077265	0.4732929038	1.205510926	1.323179069	1.32222376
-1.240601504	0.3892430866	0.4692458616	1.205534222	1.311839453	1.310917663
-1.195488722	0.3858784468	0.4651988194	1.205557924	1.300499836	1.299611566
-1.15037594	0.3825138069	0.4611517771	1.205582044	1.28916022	1.288305469
-1.105263158	0.3791491671	0.4571047349	1.205606591	1.277820603	1.276999372
-1.060150376	0.3757845272	0.4530576927	1.205631578	1.266480987	1.265693275
-1.015037594	0.3724198873	0.4490106504	1.205657017	1.25514137	1.254387179
-0.969924812	0.3690552475	0.4449636082	1.205682919	1.243801754	1.243081082
-0.9248120301	0.3656906076	0.440916566	1.205709298	1.232462137	1.231774985
-0.8796992481	0.3623259678	0.4368695237	1.205736167	1.221122521	1.220468888
-0.8345864662	0.3589613279	0.4328224815	1.20576354	1.209782905	1.209162791
-0.7894736842	0.355596688	0.4287754392	1.205791431	1.198443288	1.197856695
-0.7443609023	0.3522320482	0.424728397	1.205819854	1.187103672	1.186550598
-0.6992481203	0.3488674083	0.4206813548	1.205848826	1.175764055	1.175244501
-0.6541353383	0.3455027685	0.4166343125	1.205878362	1.164424439	1.163938404
-0.6090225564	0.3421381286	0.4125872703	1.205908479	1.153084822	1.152632307
-0.5639097744	0.3387734887	0.4085402281	1.205939194	1.141745206	1.14132621
-0.5187969925	0.3354088489	0.4044931858	1.205970526	1.130405589	1.130020114
-0.4736842105	0.332044209	0.4004461436	1.206002492	1.119065973	1.118714017
-0.4285714286	0.3286795692	0.3963991014	1.206035113	1.107726356	1.10740792
-0.3834586466	0.3253149293	0.3923520591	1.206068409	1.09638674	1.096101823
-0.3383458647	0.3219502894	0.3883050169	1.2061024	1.085047123	1.084795726
-0.2932330827	0.3185856496	0.3842579747	1.20613711	1.073707507	1.073489629
-0.2481203008	0.3152210097	0.3802109324	1.206172561	1.062367891	1.062183533
-0.2030075188	0.3118563699	0.3761638902	1.206208776	1.051028274	1.050877436
-0.1578947368	0.30849173	0.372116848	1.206245782	1.039688658	1.039571339
-0.1127819549	0.3051270901	0.3680698057	1.206283603	1.028349041	1.028265242
-0.06766917293	0.3017624503	0.3640227635	1.206322268	1.017009425	1.016959145
-0.02255639098	0.2983978104	0.3599757213	1.206361805	1.005669808	1.005653048
0.02255639098	0.2950331706	0.355928679	1.206402244	0.9943301918	0.9943469516
0.06766917293	0.2916685307	0.3518816368	1.206443616	0.9829905753	0.9830408548
0.1127819549	0.2883038908	0.3478345945	1.206485953	0.9716509588	0.9717347579
0.1578947368	0.284939251	0.3437875523	1.20652929	0.9603113424	0.9604286611
0.2030075188	0.2815746111	0.3397405101	1.206573663	0.9489717259	0.9491225643
0.2481203008	0.2782099713	0.3356934678	1.20661911	0.9376321095	0.9378164674
0.2932330827	0.2748453314	0.3316464256	1.206665669	0.926292493	0.9265103706
0.3383458647	0.2714806915	0.3275993834	1.206713382	0.9149528765	0.9152042738
0.3834586466	0.2681160517	0.3235523411	1.206762292	0.9036132601	0.9038981769
0.4285714286	0.2647514118	0.3195052989	1.206812446	0.8922736436	0.8925920801
0.4736842105	0.261386772	0.3154582567	1.206863891	0.8809340272	0.8812859833
0.5187969925	0.2580221321	0.3114112144	1.206916678	0.8695944107	0.8699798865
0.5639097744	0.2546574922	0.3073641722	1.206970859	0.8582547942	0.8586737896
0.6090225564	0.2512928524	0.30331713	1.207026492	0.8469151778	0.8473676928
0.6541353383	0.2479282125	0.2992700877	1.207083634	0.8355755613	0.836061596
0.6992481203	0.2445635726	0.2952230455	1.207142349	0.8242359448	0.8247554991
0.7443609023	0.2411989328	0.2911760033	1.207202701	0.8128963284	0.8134494023
0.7894736842	0.2378342929	0.287128961	1.207264762	0.8015567119	0.8021433055
0.8345864662	0.2344696531	0.2830819188	1.207328603	0.7902170955	0.7908372087
0.8796992481	0.2311050132	0.2790348765	1.207394304	0.778877479	0.7795311118
0.9248120301	0.2277403733	0.2749878343	1.207461946	0.7675378625	0.768225015
0.969924812	0.2243757335	0.2709407921	1.207531616	0.7561982461	0.7569189182
