# VHH-NNLO SMEFT scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axis: phiq3st
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiq3st	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.02894736842	1.012624019	1.236984278	1.22156324	3.412777732	3.455724751
0.02909774436	1.016343024	1.241550678	1.221586264	3.425311642	3.468481762
0.0292481203	1.020062029	1.246117078	1.22160912	3.437845552	3.481238774
0.02939849624	1.023781035	1.250683479	1.22163181	3.450379463	3.493995786
0.02954887218	1.02750004	1.255249879	1.221654336	3.462913373	3.506752797
0.02969924812	1.031219045	1.25981628	1.221676699	3.475447283	3.519509809
0.02984962406	1.034938051	1.26438268	1.221698902	3.487981194	3.532266821
0.03	1.038657056	1.26894908	1.221720945	3.500515104	3.545023832
0.03015037594	1.042376061	1.273515481	1.221742832	3.513049014	3.557780844
0.03030075188	1.046095067	1.278081881	1.221764562	3.525582924	3.570537856
0.03045112782	1.049814072	1.282648282	1.221786139	3.538116835	3.583294867
0.03060150376	1.053533077	1.287214682	1.221807563	3.550650745	3.596051879
0.0307518797	1.057252083	1.291781082	1.221828837	3.563184655	3.608808891
0.03090225564	1.060971088	1.296347483	1.221849961	3.575718566	3.621565903
0.03105263158	1.064690093	1.300913883	1.221870938	3.588252476	3.634322914
0.03120300752	1.068409099	1.305480284	1.221891769	3.600786386	3.647079926
0.03135338346	1.072128104	1.310046684	1.221912455	3.613320297	3.659836938
0.0315037594	1.075847109	1.314613084	1.221932999	3.625854207	3.672593949
0.03165413534	1.079566115	1.319179485	1.2219534	3.638388117	3.685350961
0.03180451128	1.08328512	1.323745885	1.221973662	3.650922027	3.698107973
0.03195488722	1.087004125	1.328312286	1.221993785	3.663455938	3.710864984
0.03210526316	1.090723131	1.332878686	1.222013771	3.675989848	3.723621996
0.0322556391	1.094442136	1.337445086	1.222033621	3.688523758	3.736379008
0.03240601504	1.098161141	1.342011487	1.222053336	3.701057669	3.749136019
0.03255639098	1.101880147	1.346577887	1.222072919	3.713591579	3.761893031
0.03270676692	1.105599152	1.351144288	1.22209237	3.726125489	3.774650043
0.03285714286	1.109318157	1.355710688	1.22211169	3.738659399	3.787407055
0.0330075188	1.113037163	1.360277088	1.222130881	3.75119331	3.800164066
0.03315789474	1.116756168	1.364843489	1.222149944	3.76372722	3.812921078
0.03330827068	1.120475173	1.369409889	1.222168881	3.77626113	3.82567809
0.03345864662	1.124194179	1.37397629	1.222187693	3.788795041	3.838435101
0.03360902256	1.127913184	1.37854269	1.22220638	3.801328951	3.851192113
0.0337593985	1.13163219	1.38310909	1.222224945	3.813862861	3.863949125
0.03390977444	1.135351195	1.387675491	1.222243388	3.826396772	3.876706136
0.03406015038	1.1390702	1.392241891	1.22226171	3.838930682	3.889463148
0.03421052632	1.142789206	1.396808292	1.222279914	3.851464592	3.90222016
0.03436090226	1.146508211	1.401374692	1.222297999	3.863998502	3.914977171
0.0345112782	1.150227216	1.405941092	1.222315967	3.876532413	3.927734183
0.03466165414	1.153946222	1.410507493	1.22233382	3.889066323	3.940491195
0.03481203008	1.157665227	1.415073893	1.222351558	3.901600233	3.953248206
0.03496240602	1.161384232	1.419640294	1.222369182	3.914134144	3.966005218
0.03511278195	1.165103238	1.424206694	1.222386693	3.926668054	3.97876223
0.03526315789	1.168822243	1.428773094	1.222404094	3.939201964	3.991519242
0.03541353383	1.172541248	1.433339495	1.222421383	3.951735875	4.004276253
0.03556390977	1.176260254	1.437905895	1.222438564	3.964269785	4.017033265
0.03571428571	1.179979259	1.442472296	1.222455636	3.976803695	4.029790277
0.03586466165	1.183698264	1.447038696	1.222472601	3.989337605	4.042547288
0.03601503759	1.18741727	1.451605096	1.22248946	4.001871516	4.0553043
0.03616541353	1.191136275	1.456171497	1.222506213	4.014405426	4.068061312
0.03631578947	1.19485528	1.460737897	1.222522862	4.026939336	4.080818323
0.03646616541	1.198574286	1.465304298	1.222539408	4.039473247	4.093575335
0.03661654135	1.202293291	1.469870698	1.222555851	4.052007157	4.106332347
0.03676691729	1.206012296	1.474437098	1.222572193	4.064541067	4.119089358
0.03691729323	1.209731302	1.479003499	1.222588435	4.077074977	4.13184637
0.03706766917	1.213450307	1.483569899	1.222604577	4.089608888	4.144603382
0.03721804511	1.217169312	1.4881363	1.22262062	4.102142798	4.157360394
0.03736842105	1.220888318	1.4927027	1.222636566	4.114676708	4.170117405
0.03751879699	1.224607323	1.4972691	1.222652415	4.127210619	4.182874417
0.03766917293	1.228326328	1.501835501	1.222668167	4.139744529	4.195631429
0.03781954887	1.232045334	1.506401901	1.222683825	4.152278439	4.20838844
0.03796992481	1.235764339	1.510968302	1.222699388	4.16481235	4.221145452
0.03812030075	1.239483344	1.515534702	1.222714858	4.17734626	4.233902464
0.03827067669	1.24320235	1.520101102	1.222730236	4.18988017	4.246659475
0.03842105263	1.246921355	1.524667503	1.222745522	4.20241408	4.259416487
0.03857142857	1.25064036	1.529233903	1.222760717	4.214947991	4.272173499
0.03872180451	1.254359366	1.533800304	1.222775821	4.227481901	4.28493051
0.03887218045	1.258078371	1.538366704	1.222790837	4.240015811	4.297687522
0.03902255639	1.261797376	1.542933104	1.222805764	4.252549722	4.310444534
0.03917293233	1.265516382	1.547499505	1.222820603	4.265083632	4.323201546
0.03932330827	1.269235387	1.552065905	1.222835355	4.277617542	4.335958557
0.03947368421	1.272954392	1.556632306	1.222850021	4.290151452	4.348715569
0.03962406015	1.276673398	1.561198706	1.222864602	4.302685363	4.361472581
0.03977443609	1.280392403	1.565765106	1.222879098	4.315219273	4.374229592
0.03992481203	1.284111408	1.570331507	1.222893509	4.327753183	4.386986604
0.04007518797	1.287830414	1.574897907	1.222907838	4.340287094	4.399743616
