# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.97435897	0.8974358974	2.17479293	2.604990177	1.19781067	7.329556426	7.277480557
-13.97435897	0.9487179487	2.22255464	2.661756241	1.19761116	7.490524461	7.436066155
-13.97435897	1	2.270316349	2.718522304	1.197420045	7.651492497	7.594651752
-13.46153846	-1	0.3693620615	0.4586409871	1.241711142	1.244835788	1.281291153
-13.46153846	-0.9487179487	0.417123771	0.5154070507	1.235621383	1.405803824	1.43987675
-13.46153846	-0.8974358974	0.4648854806	0.5721731142	1.230782931	1.566771859	1.598462348
-13.46153846	-0.8461538462	0.5126471901	0.6289391777	1.226846045	1.727739894	1.757047945
-13.46153846	-0.7948717949	0.5604088996	0.6857052413	1.223580214	1.888707929	1.915633543
-13.46153846	-0.7435897436	0.6081706092	0.7424713048	1.220827336	2.049675965	2.07421914
-13.46153846	-0.6923076923	0.6559323187	0.7992373683	1.21847536	2.210644	2.232804738
-13.46153846	-0.641025641	0.7036940283	0.8560034319	1.216442655	2.371612035	2.391390335
-13.46153846	-0.5897435897	0.7514557378	0.9127694954	1.214668342	2.53258007	2.549975933
-13.46153846	-0.5384615385	0.7992174473	0.9695355589	1.213106098	2.693548106	2.70856153
-13.46153846	-0.4871794872	0.8469791569	1.026301622	1.211720045	2.854516141	2.867147128
-13.46153846	-0.4358974359	0.8947408664	1.083067686	1.210481969	3.015484176	3.025732725
-13.46153846	-0.3846153846	0.942502576	1.13983375	1.209369373	3.176452212	3.184318323
-13.46153846	-0.3333333333	0.9902642855	1.196599813	1.208364101	3.337420247	3.34290392
-13.46153846	-0.2820512821	1.038025995	1.253365877	1.207451338	3.498388282	3.501489518
-13.46153846	-0.2307692308	1.085787705	1.31013194	1.206618876	3.659356317	3.660075115
