# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-2.619047619	0.4971340044	0.6507197355	1.308942317	1.627231657	1.55944249
-2.568922306	0.4934665412	0.6462519351	1.309616521	1.615227224	1.548735457
-2.518796992	0.4897990781	0.6417841346	1.310300822	1.60322279	1.538028424
-2.468671679	0.4861316149	0.6373163341	1.310995448	1.591218357	1.527321391
-2.418546366	0.4824641517	0.6328485337	1.311700634	1.579213923	1.516614357
-2.368421053	0.4787966886	0.6283807332	1.312416623	1.567209489	1.505907324
-2.318295739	0.4751292254	0.6239129327	1.313143666	1.555205056	1.495200291
-2.268170426	0.4714617623	0.6194451323	1.313882019	1.543200622	1.484493257
-2.218045113	0.4677942991	0.6149773318	1.31463195	1.531196188	1.473786224
-2.167919799	0.4641268359	0.6105095313	1.315393733	1.519191755	1.463079191
-2.117794486	0.4604593728	0.6060417309	1.316167651	1.507187321	1.452372157
-2.067669173	0.4567919096	0.6015739304	1.316953995	1.495182887	1.441665124
-2.01754386	0.4531244464	0.5971061299	1.317753069	1.483178454	1.430958091
-1.967418546	0.4494569833	0.5926383295	1.318565183	1.47117402	1.420251057
-1.917293233	0.4457895201	0.588170529	1.31939066	1.459169587	1.409544024
-1.86716792	0.4421220569	0.5837027285	1.320229831	1.447165153	1.398836991
-1.817042607	0.4384545938	0.5792349281	1.321083041	1.435160719	1.388129958
-1.766917293	0.4347871306	0.5747671276	1.321950645	1.423156286	1.377422924
-1.71679198	0.4311196674	0.5702993272	1.32283301	1.411151852	1.366715891
-1.666666667	0.4274522043	0.5658315267	1.323730515	1.399147418	1.356008858
-1.616541353	0.4237847411	0.5613637262	1.324643555	1.387142985	1.345301824
-1.56641604	0.420117278	0.5568959258	1.325572536	1.375138551	1.334594791
-1.516290727	0.4164498148	0.5524281253	1.32651788	1.363134117	1.323887758
-1.466165414	0.4127823516	0.5479603248	1.327480021	1.351129684	1.313180724
-1.4160401	0.4091148885	0.5434925244	1.328459412	1.33912525	1.302473691
-1.365914787	0.4054474253	0.5390247239	1.329456522	1.327120817	1.291766658
-1.315789474	0.4017799621	0.5345569234	1.330471835	1.315116383	1.281059624
-1.26566416	0.398112499	0.530089123	1.331505854	1.303111949	1.270352591
-1.215538847	0.3944450358	0.5256213225	1.332559102	1.291107516	1.259645558
-1.165413534	0.3907775726	0.521153522	1.333632118	1.279103082	1.248938524
-1.115288221	0.3871101095	0.5166857216	1.334725467	1.267098648	1.238231491
-1.065162907	0.3834426463	0.5122179211	1.33583973	1.255094215	1.227524458
-1.015037594	0.3797751831	0.5077501206	1.336975514	1.243089781	1.216817425
-0.9649122807	0.37610772	0.5032823202	1.338133448	1.231085347	1.206110391
-0.9147869674	0.3724402568	0.4988145197	1.339314187	1.219080914	1.195403358
-0.8646616541	0.3687727936	0.4943467192	1.340518411	1.20707648	1.184696325
-0.8145363409	0.3651053305	0.4898789188	1.341746827	1.195072047	1.173989291
-0.7644110276	0.3614378673	0.4854111183	1.343000173	1.183067613	1.163282258
-0.7142857143	0.3577704042	0.4809433179	1.344279214	1.171063179	1.152575225
-0.664160401	0.354102941	0.4764755174	1.34558475	1.159058746	1.141868191
-0.6140350877	0.3504354778	0.4720077169	1.346917612	1.147054312	1.131161158
-0.5639097744	0.3467680147	0.4675399165	1.348278667	1.135049878	1.120454125
-0.5137844612	0.3431005515	0.463072116	1.349668819	1.123045445	1.109747091
-0.4636591479	0.3394330883	0.4586043155	1.351089011	1.111041011	1.099040058
-0.4135338346	0.3357656252	0.4541365151	1.352540228	1.099036577	1.088333025
-0.3634085213	0.332098162	0.4496687146	1.354023497	1.087032144	1.077625992
-0.313283208	0.3284306988	0.4452009141	1.355539892	1.07502771	1.066918958
-0.2631578947	0.3247632357	0.4407331137	1.357090536	1.063023277	1.056211925
-0.2130325815	0.3210957725	0.4362653132	1.358676602	1.051018843	1.045504892
-0.1629072682	0.3174283093	0.4317975127	1.360299318	1.039014409	1.034797858
-0.1127819549	0.3137608462	0.4273297123	1.361959969	1.027009976	1.024090825
-0.0626566416	0.310093383	0.4228619118	1.3636599	1.015005542	1.013383792
-0.01253132832	0.3064259199	0.4183941113	1.365400523	1.003001108	1.002676758
0.03759398496	0.3027584567	0.4139263109	1.367183316	0.9909966748	0.991969725
0.08771929825	0.2990909935	0.4094585104	1.369009831	0.9789922411	0.9812626917
0.1378446115	0.2954235304	0.4049907099	1.370881695	0.9669878075	0.9705556584
0.1879699248	0.2917560672	0.4005229095	1.372800618	0.9549833739	0.9598486251
0.2380952381	0.288088604	0.396055109	1.374768399	0.9429789402	0.9491415918
0.2882205514	0.2844211409	0.3915873086	1.376786927	0.9309745066	0.9384345585
0.3383458647	0.2807536777	0.3871195081	1.378858191	0.918970073	0.9277275252
0.3884711779	0.2770862145	0.3826517076	1.380984284	0.9069656393	0.9170204918
0.4385964912	0.2734187514	0.3781839072	1.383167414	0.8949612057	0.9063134585
0.4887218045	0.2697512882	0.3737161067	1.385409905	0.8829567721	0.8956064252
0.5388471178	0.266083825	0.3692483062	1.387714214	0.8709523384	0.8848993919
0.5889724311	0.2624163619	0.3647805058	1.390082932	0.8589479048	0.8741923586
0.6390977444	0.2587488987	0.3603127053	1.392518798	0.8469434711	0.8634853253
0.6892230576	0.2550814355	0.3558449048	1.395024707	0.8349390375	0.852778292
0.7393483709	0.2514139724	0.3513771044	1.397603725	0.8229346039	0.8420712587
0.7894736842	0.2477465092	0.3469093039	1.400259099	0.8109301702	0.8313642254
0.8395989975	0.2440790461	0.3424415034	1.402994272	0.7989257366	0.820657192
0.8897243108	0.2404115829	0.337973703	1.405812893	0.786921303	0.8099501587
0.9398496241	0.2367441197	0.3335059025	1.408718843	0.7749168693	0.7992431254
0.9899749373	0.2330766566	0.329038102	1.411716243	0.7629124357	0.7885360921
1.040100251	0.2294091934	0.3245703016	1.41480948	0.7509080021	0.7778290588
1.090225564	0.2257417302	0.3201025011	1.418003223	0.7389035684	0.7671220255
1.140350877	0.2220742671	0.3156347006	1.421302454	0.7268991348	0.7564149922
1.19047619	0.2184068039	0.3111669002	1.424712484	0.7148947012	0.7457079589
1.240601504	0.2147393407	0.3066990997	1.428238993	0.7028902675	0.7350009256
1.290726817	0.2110718776	0.3022312993	1.43188805	0.6908858339	0.7242938923
1.34085213	0.2074044144	0.2977634988	1.435666158	0.6788814003	0.7135868589
1.390977444	0.2037369512	0.2932956983	1.439580285	0.6668769666	0.7028798256
1.441102757	0.2000694881	0.2888278979	1.443637911	0.654872533	0.6921727923
1.49122807	0.1964020249	0.2843600974	1.447847075	0.6428680993	0.681465759
1.541353383	0.1927345618	0.2798922969	1.452216429	0.6308636657	0.6707587257
1.591478697	0.1890670986	0.2754244965	1.456755292	0.6188592321	0.6600516924
1.64160401	0.1853996354	0.270956696	1.461473726	0.6068547984	0.6493446591
1.691729323	0.1817321723	0.2664888955	1.466382602	0.5948503648	0.6386376258
1.741854637	0.1780647091	0.2620210951	1.471493686	0.5828459312	0.6279305925
1.79197995	0.1743972459	0.2575532946	1.476819735	0.5708414975	0.6172235592
1.842105263	0.1707297828	0.2530854941	1.482374604	0.5588370639	0.6065165258
1.892230576	0.1670623196	0.2486176937	1.488173361	0.5468326303	0.5958094925
1.94235589	0.1633948564	0.2441498932	1.494232429	0.5348281966	0.5851024592
1.992481203	0.1597273933	0.2396820927	1.500569738	0.522823763	0.5743954259
2.042606516	0.1560599301	0.2352142923	1.507204906	0.5108193294	0.5636883926
2.09273183	0.1523924669	0.2307464918	1.514159436	0.4988148957	0.5529813593
2.142857143	0.1487250038	0.2262786914	1.521456955	0.4868104621	0.542274326
2.192982456	0.1450575406	0.2218108909	1.529123477	0.4748060284	0.5315672927
2.243107769	0.1413900774	0.2173430904	1.537187717	0.4628015948	0.5208602594
