# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.46153846	0.1282051282	1.284081205	1.605498898	1.250309476	4.417235761	4.05012127
-13.46153846	0.1794871795	1.306018381	1.631465545	1.249190339	4.492699586	4.115626184
-13.46153846	0.2307692308	1.327955557	1.657432191	1.248108178	4.568163411	4.181131097
-13.46153846	0.2820512821	1.349892734	1.683398837	1.247061189	4.643627235	4.246636011
-13.46153846	0.3333333333	1.37182991	1.709365484	1.246047685	4.71909106	4.312140924
-13.46153846	0.3846153846	1.393767086	1.73533213	1.245066086	4.794554885	4.377645838
-13.46153846	0.4358974359	1.415704262	1.761298776	1.244114907	4.870018709	4.443150751
-13.46153846	0.4871794872	1.437641438	1.787265423	1.243192757	4.945482534	4.508655665
-13.46153846	0.5384615385	1.459578614	1.813232069	1.242298326	5.020946359	4.574160579
-13.46153846	0.5897435897	1.48151579	1.839198715	1.241430383	5.096410183	4.639665492
-13.46153846	0.641025641	1.503452967	1.865165362	1.240587769	5.171874008	4.705170406
-13.46153846	0.6923076923	1.525390143	1.891132008	1.239769391	5.247337833	4.770675319
-13.46153846	0.7435897436	1.547327319	1.917098654	1.238974218	5.322801658	4.836180233
-13.46153846	0.7948717949	1.569264495	1.9430653	1.238201276	5.398265482	4.901685146
-13.46153846	0.8461538462	1.591201671	1.969031947	1.237449647	5.473729307	4.96719006
-13.46153846	0.8974358974	1.613138847	1.994998593	1.236718461	5.549193132	5.032694973
-13.46153846	0.9487179487	1.635076023	2.020965239	1.236006895	5.624656956	5.098199887
-13.46153846	1	1.6570132	2.046931886	1.23531417	5.700120781	5.1637048
-12.94871795	-1	0.7657094116	0.9906450731	1.293761129	2.634038239	2.499056639
-12.94871795	-0.9487179487	0.7876465877	1.016611719	1.290695263	2.709502063	2.564561553
-12.94871795	-0.8974358974	0.8095837639	1.042578366	1.287795547	2.784965888	2.630066467
-12.94871795	-0.8461538462	0.83152094	1.068545012	1.285048831	2.860429713	2.69557138
-12.94871795	-0.7948717949	0.8534581162	1.094511658	1.282443318	2.935893537	2.761076294
-12.94871795	-0.7435897436	0.8753952923	1.120478305	1.279968392	3.011357362	2.826581207
-12.94871795	-0.6923076923	0.8973324685	1.146444951	1.277614475	3.086821187	2.892086121
-12.94871795	-0.641025641	0.9192696446	1.172411597	1.275372905	3.162285011	2.957591034
-12.94871795	-0.5897435897	0.9412068208	1.198378244	1.273235826	3.237748836	3.023095948
-12.94871795	-0.5384615385	0.9631439969	1.22434489	1.271196097	3.313212661	3.088600861
-12.94871795	-0.4871794872	0.9850811731	1.250311536	1.269247216	3.388676486	3.154105775
-12.94871795	-0.4358974359	1.007018349	1.276278183	1.267383244	3.46414031	3.219610688
-12.94871795	-0.3846153846	1.028955525	1.302244829	1.265598752	3.539604135	3.285115602
-12.94871795	-0.3333333333	1.050892701	1.328211475	1.263888762	3.61506796	3.350620516
-12.94871795	-0.2820512821	1.072829878	1.354178121	1.262248703	3.690531784	3.416125429
-12.94871795	-0.2307692308	1.094767054	1.380144768	1.260674372	3.765995609	3.481630343
-12.94871795	-0.1794871795	1.11670423	1.406111414	1.259161895	3.841459434	3.547135256
-12.94871795	-0.1282051282	1.138641406	1.43207806	1.257707697	3.916923259	3.61264017
-12.94871795	-0.07692307692	1.160578582	1.458044707	1.256308473	3.992387083	3.678145083
-12.94871795	-0.02564102564	1.182515758	1.484011353	1.254961164	4.067850908	3.743649997
-12.94871795	0.02564102564	1.204452935	1.509977999	1.253662934	4.143314733	3.80915491
-12.94871795	0.07692307692	1.226390111	1.535944646	1.252411147	4.218778557	3.874659824
-12.94871795	0.1282051282	1.248327287	1.561911292	1.251203357	4.294242382	3.940164737
-12.94871795	0.1794871795	1.270264463	1.587877938	1.250037283	4.369706207	4.005669651
-12.94871795	0.2307692308	1.292201639	1.613844585	1.248910801	4.445170031	4.071174564
-12.94871795	0.2820512821	1.314138815	1.639811231	1.247821929	4.520633856	4.136679478
-12.94871795	0.3333333333	1.336075991	1.665777877	1.246768812	4.596097681	4.202184392
-12.94871795	0.3846153846	1.358013168	1.691744523	1.24574972	4.671561506	4.267689305
-12.94871795	0.4358974359	1.379950344	1.71771117	1.244763029	4.74702533	4.333194219
-12.94871795	0.4871794872	1.40188752	1.743677816	1.243807218	4.822489155	4.398699132
-12.94871795	0.5384615385	1.423824696	1.769644462	1.24288086	4.89795298	4.464204046
-12.94871795	0.5897435897	1.445761872	1.795611109	1.241982614	4.973416804	4.529708959
-12.94871795	0.641025641	1.467699048	1.821577755	1.241111219	5.048880629	4.595213873
