# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.298245614	0.4182799084	0.5474241596	1.308750788	1.438881717	1.380962787
0.301754386	0.4197808731	0.5492008249	1.308303594	1.444045032	1.385444702
0.3052631579	0.4212818378	0.5509774902	1.307859587	1.449208346	1.389926617
0.3087719298	0.4227828025	0.5527541555	1.307418732	1.45437166	1.394408532
0.3122807018	0.4242837671	0.5545308207	1.306980996	1.459534975	1.398890447
0.3157894737	0.4257847318	0.556307486	1.306546347	1.464698289	1.403372362
0.3192982456	0.4272856965	0.5580841513	1.306114751	1.469861603	1.407854277
0.3228070175	0.4287866612	0.5598608166	1.305686177	1.475024918	1.412336193
0.3263157895	0.4302876259	0.5616374818	1.305260593	1.480188232	1.416818108
0.3298245614	0.4317885906	0.5634141471	1.304837968	1.485351546	1.421300023
0.3333333333	0.4332895553	0.5651908124	1.304418271	1.490514861	1.425781938
0.3368421053	0.4347905199	0.5669674777	1.304001471	1.495678175	1.430263853
0.3403508772	0.4362914846	0.5687441429	1.303587539	1.500841489	1.434745768
0.3438596491	0.4377924493	0.5705208082	1.303176446	1.506004804	1.439227683
0.3473684211	0.439293414	0.5722974735	1.302768162	1.511168118	1.443709599
0.350877193	0.4407943787	0.5740741388	1.302362658	1.516331432	1.448191514
0.3543859649	0.4422953434	0.575850804	1.301959907	1.521494747	1.452673429
0.3578947368	0.443796308	0.5776274693	1.30155988	1.526658061	1.457155344
0.3614035088	0.4452972727	0.5794041346	1.301162549	1.531821375	1.461637259
0.3649122807	0.4467982374	0.5811807998	1.300767888	1.536984689	1.466119174
0.3684210526	0.4482992021	0.5829574651	1.30037587	1.542148004	1.470601089
0.3719298246	0.4498001668	0.5847341304	1.299986469	1.547311318	1.475083005
0.3754385965	0.4513011315	0.5865107957	1.299599657	1.552474632	1.47956492
0.3789473684	0.4528020961	0.5882874609	1.29921541	1.557637947	1.484046835
0.3824561404	0.4543030608	0.5900641262	1.298833702	1.562801261	1.48852875
0.3859649123	0.4558040255	0.5918407915	1.298454508	1.567964575	1.493010665
0.3894736842	0.4573049902	0.5936174568	1.298077803	1.57312789	1.49749258
