# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-2.01754386	0.2906979103	0.4044126395	1.391178351	1	1.020193931
-1.967418546	0.2906979103	0.4042137568	1.390494195	1	1.019692219
-1.917293233	0.2906979103	0.4040148741	1.389810039	1	1.019190506
-1.86716792	0.2906979103	0.4038159914	1.389125883	1	1.018688794
-1.817042607	0.2906979103	0.4036171088	1.388441727	1	1.018187081
-1.766917293	0.2906979103	0.4034182261	1.387757572	1	1.017685369
-1.71679198	0.2906979103	0.4032193434	1.387073416	1	1.017183656
-1.666666667	0.2906979103	0.4030204607	1.38638926	1	1.016681943
-1.616541353	0.2906979103	0.402821578	1.385705104	1	1.016180231
-1.56641604	0.2906979103	0.4026226953	1.385020948	1	1.015678518
-1.516290727	0.2906979103	0.4024238126	1.384336792	1	1.015176806
-1.466165414	0.2906979103	0.4022249299	1.383652636	1	1.014675093
-1.4160401	0.2906979103	0.4020260473	1.38296848	1	1.01417338
-1.365914787	0.2906979103	0.4018271646	1.382284324	1	1.013671668
-1.315789474	0.2906979103	0.4016282819	1.381600169	1	1.013169955
-1.26566416	0.2906979103	0.4014293992	1.380916013	1	1.012668243
-1.215538847	0.2906979103	0.4012305165	1.380231857	1	1.01216653
-1.165413534	0.2906979103	0.4010316338	1.379547701	1	1.011664818
-1.115288221	0.2906979103	0.4008327511	1.378863545	1	1.011163105
-1.065162907	0.2906979103	0.4006338685	1.378179389	1	1.010661392
-1.015037594	0.2906979103	0.4004349858	1.377495233	1	1.01015968
-0.9649122807	0.2906979103	0.4002361031	1.376811077	1	1.009657967
-0.9147869674	0.2906979103	0.4000372204	1.376126922	1	1.009156255
-0.8646616541	0.2906979103	0.3998383377	1.375442766	1	1.008654542
-0.8145363409	0.2906979103	0.399639455	1.37475861	1	1.008152829
-0.7644110276	0.2906979103	0.3994405723	1.374074454	1	1.007651117
-0.7142857143	0.2906979103	0.3992416897	1.373390298	1	1.007149404
-0.664160401	0.2906979103	0.399042807	1.372706142	1	1.006647692
-0.6140350877	0.2906979103	0.3988439243	1.372021986	1	1.006145979
-0.5639097744	0.2906979103	0.3986450416	1.37133783	1	1.005644267
-0.5137844612	0.2906979103	0.3984461589	1.370653674	1	1.005142554
-0.4636591479	0.2906979103	0.3982472762	1.369969519	1	1.004640841
-0.4135338346	0.2906979103	0.3980483935	1.369285363	1	1.004139129
-0.3634085213	0.2906979103	0.3978495108	1.368601207	1	1.003637416
-0.313283208	0.2906979103	0.3976506282	1.367917051	1	1.003135704
-0.2631578947	0.2906979103	0.3974517455	1.367232895	1	1.002633991
-0.2130325815	0.2906979103	0.3972528628	1.366548739	1	1.002132278
-0.1629072682	0.2906979103	0.3970539801	1.365864583	1	1.001630566
-0.1127819549	0.2906979103	0.3968550974	1.365180427	1	1.001128853
-0.0626566416	0.2906979103	0.3966562147	1.364496271	1	1.000627141
-0.01253132832	0.2906979103	0.396457332	1.363812116	1	1.000125428
0.03759398496	0.2906979103	0.3962584494	1.36312796	1	0.9996237156
0.08771929825	0.2906979103	0.3960595667	1.362443804	1	0.999122003
0.1378446115	0.2906979103	0.395860684	1.361759648	1	0.9986202904
0.1879699248	0.2906979103	0.3956618013	1.361075492	1	0.9981185778
0.2380952381	0.2906979103	0.3954629186	1.360391336	1	0.9976168652
0.2882205514	0.2906979103	0.3952640359	1.35970718	1	0.9971151526
0.3383458647	0.2906979103	0.3950651532	1.359023024	1	0.9966134401
0.3884711779	0.2906979103	0.3948662705	1.358338868	1	0.9961117275
0.4385964912	0.2906979103	0.3946673879	1.357654713	1	0.9956100149
0.4887218045	0.2906979103	0.3944685052	1.356970557	1	0.9951083023
0.5388471178	0.2906979103	0.3942696225	1.356286401	1	0.9946065897
0.5889724311	0.2906979103	0.3940707398	1.355602245	1	0.9941048772
0.6390977444	0.2906979103	0.3938718571	1.354918089	1	0.9936031646
0.6892230576	0.2906979103	0.3936729744	1.354233933	1	0.993101452
0.7393483709	0.2906979103	0.3934740917	1.353549777	1	0.9925997394
0.7894736842	0.2906979103	0.3932752091	1.352865621	1	0.9920980268
0.8395989975	0.2906979103	0.3930763264	1.352181465	1	0.9915963142
0.8897243108	0.2906979103	0.3928774437	1.35149731	1	0.9910946017
0.9398496241	0.2906979103	0.392678561	1.350813154	1	0.9905928891
0.9899749373	0.2906979103	0.3924796783	1.350128998	1	0.9900911765
1.040100251	0.2906979103	0.3922807956	1.349444842	1	0.9895894639
1.090225564	0.2906979103	0.3920819129	1.348760686	1	0.9890877513
1.140350877	0.2906979103	0.3918830303	1.34807653	1	0.9885860387
1.19047619	0.2906979103	0.3916841476	1.347392374	1	0.9880843262
1.240601504	0.2906979103	0.3914852649	1.346708218	1	0.9875826136
1.290726817	0.2906979103	0.3912863822	1.346024063	1	0.987080901
1.34085213	0.2906979103	0.3910874995	1.345339907	1	0.9865791884
1.390977444	0.2906979103	0.3908886168	1.344655751	1	0.9860774758
1.441102757	0.2906979103	0.3906897341	1.343971595	1	0.9855757632
1.49122807	0.2906979103	0.3904908514	1.343287439	1	0.9850740507
1.541353383	0.2906979103	0.3902919688	1.342603283	1	0.9845723381
1.591478697	0.2906979103	0.3900930861	1.341919127	1	0.9840706255
1.64160401	0.2906979103	0.3898942034	1.341234971	1	0.9835689129
1.691729323	0.2906979103	0.3896953207	1.340550815	1	0.9830672003
1.741854637	0.2906979103	0.389496438	1.33986666	1	0.9825654878
1.79197995	0.2906979103	0.3892975553	1.339182504	1	0.9820637752
1.842105263	0.2906979103	0.3890986726	1.338498348	1	0.9815620626
1.892230576	0.2906979103	0.38889979	1.337814192	1	0.98106035
1.94235589	0.2906979103	0.3887009073	1.337130036	1	0.9805586374
1.992481203	0.2906979103	0.3885020246	1.33644588	1	0.9800569248
2.042606516	0.2906979103	0.3883031419	1.335761724	1	0.9795552123
2.09273183	0.2906979103	0.3881042592	1.335077568	1	0.9790534997
2.142857143	0.2906979103	0.3879053765	1.334393412	1	0.9785517871
2.192982456	0.2906979103	0.3877064938	1.333709257	1	0.9780500745
2.243107769	0.2906979103	0.3875076111	1.333025101	1	0.9775483619
2.293233083	0.2906979103	0.3873087285	1.332340945	1	0.9770466493
2.343358396	0.2906979103	0.3871098458	1.331656789	1	0.9765449368
2.393483709	0.2906979103	0.3869109631	1.330972633	1	0.9760432242
2.443609023	0.2906979103	0.3867120804	1.330288477	1	0.9755415116
2.493734336	0.2906979103	0.3865131977	1.329604321	1	0.975039799
2.543859649	0.2906979103	0.386314315	1.328920165	1	0.9745380864
2.593984962	0.2906979103	0.3861154323	1.328236009	1	0.9740363738
2.644110276	0.2906979103	0.3859165497	1.327551854	1	0.9735346613
2.694235589	0.2906979103	0.385717667	1.326867698	1	0.9730329487
2.744360902	0.2906979103	0.3855187843	1.326183542	1	0.9725312361
2.794486216	0.2906979103	0.3853199016	1.325499386	1	0.9720295235
2.844611529	0.2906979103	0.3851210189	1.32481523	1	0.9715278109
2.894736842	0.2906979103	0.3849221362	1.324131074	1	0.9710260984
2.944862155	0.2906979103	0.3847232535	1.323446918	1	0.9705243858
2.994987469	0.2906979103	0.3845243709	1.322762762	1	0.9700226732
3.045112782	0.2906979103	0.3843254882	1.322078606	1	0.9695209606
3.095238095	0.2906979103	0.3841266055	1.321394451	1	0.969019248
3.145363409	0.2906979103	0.3839277228	1.320710295	1	0.9685175354
3.195488722	0.2906979103	0.3837288401	1.320026139	1	0.9680158229
3.245614035	0.2906979103	0.3835299574	1.319341983	1	0.9675141103
3.295739348	0.2906979103	0.3833310747	1.318657827	1	0.9670123977
