# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-7.130325815	0.2906979103	0.4246986735	1.460962251	1	1.071368615
-7.080200501	0.2906979103	0.4244997908	1.460278096	1	1.070866902
-7.030075188	0.2906979103	0.4243009081	1.45959394	1	1.07036519
-6.979949875	0.2906979103	0.4241020255	1.458909784	1	1.069863477
-6.929824561	0.2906979103	0.4239031428	1.458225628	1	1.069361765
-6.879699248	0.2906979103	0.4237042601	1.457541472	1	1.068860052
-6.829573935	0.2906979103	0.4235053774	1.456857316	1	1.068358339
-6.779448622	0.2906979103	0.4233064947	1.45617316	1	1.067856627
-6.729323308	0.2906979103	0.423107612	1.455489004	1	1.067354914
-6.679197995	0.2906979103	0.4229087293	1.454804848	1	1.066853202
-6.629072682	0.2906979103	0.4227098467	1.454120693	1	1.066351489
-6.578947368	0.2906979103	0.422510964	1.453436537	1	1.065849776
-6.528822055	0.2906979103	0.4223120813	1.452752381	1	1.065348064
-6.478696742	0.2906979103	0.4221131986	1.452068225	1	1.064846351
-6.428571429	0.2906979103	0.4219143159	1.451384069	1	1.064344639
-6.378446115	0.2906979103	0.4217154332	1.450699913	1	1.063842926
-6.328320802	0.2906979103	0.4215165505	1.450015757	1	1.063341214
-6.278195489	0.2906979103	0.4213176678	1.449331601	1	1.062839501
-6.228070175	0.2906979103	0.4211187852	1.448647445	1	1.062337788
-6.177944862	0.2906979103	0.4209199025	1.44796329	1	1.061836076
-6.127819549	0.2906979103	0.4207210198	1.447279134	1	1.061334363
-6.077694236	0.2906979103	0.4205221371	1.446594978	1	1.060832651
-6.027568922	0.2906979103	0.4203232544	1.445910822	1	1.060330938
-5.977443609	0.2906979103	0.4201243717	1.445226666	1	1.059829225
-5.927318296	0.2906979103	0.419925489	1.44454251	1	1.059327513
