# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-3.135338346	0.5092941406	0.662898305	1.301602065	1.751970422	1.672264321
-3.090225564	0.5061488711	0.6590639065	1.302114741	1.741150704	1.662591453
-3.045112782	0.5030036016	0.655229508	1.30263383	1.730330986	1.652918585
-3	0.4998583321	0.6513951095	1.303159451	1.719511267	1.643245717
-2.954887218	0.4967130626	0.6475607111	1.303691728	1.708691549	1.633572849
-2.909774436	0.4935677931	0.6437263126	1.30423079	1.697871831	1.623899981
-2.864661654	0.4904225236	0.6398919141	1.304776766	1.687052112	1.614227113
-2.819548872	0.4872772541	0.6360575157	1.30532979	1.676232394	1.604554245
-2.77443609	0.4841319846	0.6322231172	1.30589	1.665412676	1.594881377
-2.729323308	0.4809867151	0.6283887187	1.306457536	1.654592957	1.585208509
-2.684210526	0.4778414456	0.6245543203	1.307032544	1.643773239	1.575535641
-2.639097744	0.4746961761	0.6207199218	1.307615172	1.632953521	1.565862774
-2.593984962	0.4715509066	0.6168855233	1.308205572	1.622133803	1.556189906
-2.54887218	0.4684056371	0.6130511249	1.3088039	1.611314084	1.546517038
-2.503759398	0.4652603676	0.6092167264	1.309410319	1.600494366	1.53684417
-2.458646617	0.4621150981	0.6053823279	1.310024992	1.589674648	1.527171302
-2.413533835	0.4589698286	0.6015479295	1.31064809	1.578854929	1.517498434
-2.368421053	0.4558245591	0.597713531	1.311279787	1.568035211	1.507825566
-2.323308271	0.4526792896	0.5938791325	1.311920263	1.557215493	1.498152698
-2.278195489	0.4495340201	0.590044734	1.3125697	1.546395774	1.48847983
-2.233082707	0.4463887506	0.5862103356	1.31322829	1.535576056	1.478806962
-2.187969925	0.4432434811	0.5823759371	1.313896226	1.524756338	1.469134094
-2.142857143	0.4400982116	0.5785415386	1.31457371	1.513936619	1.459461226
-2.097744361	0.4369529421	0.5747071402	1.315260946	1.503116901	1.449788358
-2.052631579	0.4338076726	0.5708727417	1.315958149	1.492297183	1.440115491
-2.007518797	0.4306624031	0.5670383432	1.316665535	1.481477465	1.430442623
-1.962406015	0.4275171336	0.5632039448	1.317383329	1.470657746	1.420769755
