# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.43589744	-0.7435897436	0.3110353462	0.3628839224	1.166696733	1.945272582	1.93915736
-12.43589744	-0.6923076923	0.3357515843	0.3917254048	1.166712007	2.099852507	2.093278745
-12.43589744	-0.641025641	0.3604678225	0.4205668872	1.166725186	2.254432432	2.247400131
-12.43589744	-0.5897435897	0.3851840606	0.4494083697	1.166736674	2.409012356	2.401521516
-12.43589744	-0.5384615385	0.4099002988	0.4782498521	1.166746776	2.563592281	2.555642902
-12.43589744	-0.4871794872	0.4346165369	0.5070913345	1.166755729	2.718172206	2.709764288
-12.43589744	-0.4358974359	0.459332775	0.535932817	1.166763719	2.872752131	2.863885673
-12.43589744	-0.3846153846	0.4840490132	0.5647742994	1.166770893	3.027332055	3.018007059
-12.43589744	-0.3333333333	0.5087652513	0.5936157818	1.16677737	3.18191198	3.172128444
-12.43589744	-0.2820512821	0.5334814895	0.6224572643	1.166783247	3.336491905	3.32624983
-12.43589744	-0.2307692308	0.5581977276	0.6512987467	1.166788603	3.49107183	3.480371216
-12.43589744	-0.1794871795	0.5829139658	0.6801402291	1.166793505	3.645651754	3.634492601
-12.43589744	-0.1282051282	0.6076302039	0.7089817116	1.166798008	3.800231679	3.788613987
-12.43589744	-0.07692307692	0.632346442	0.737823194	1.166802159	3.954811604	3.942735372
-12.43589744	-0.02564102564	0.6570626802	0.7666646764	1.166805998	4.109391528	4.096856758
-12.43589744	0.02564102564	0.6817789183	0.7955061589	1.166809559	4.263971453	4.250978143
-12.43589744	0.07692307692	0.7064951565	0.8243476413	1.16681287	4.418551378	4.405099529
-12.43589744	0.1282051282	0.7312113946	0.8531891237	1.166815958	4.573131303	4.559220915
-12.43589744	0.1794871795	0.7559276328	0.8820306062	1.166818843	4.727711227	4.7133423
-12.43589744	0.2307692308	0.7806438709	0.9108720886	1.166821546	4.882291152	4.867463686
-12.43589744	0.2820512821	0.8053601091	0.939713571	1.166824083	5.036871077	5.021585071
-12.43589744	0.3333333333	0.8300763472	0.9685550535	1.166826469	5.191451002	5.175706457
-12.43589744	0.3846153846	0.8547925853	0.9973965359	1.166828717	5.346030926	5.329827843
-12.43589744	0.4358974359	0.8795088235	1.026238018	1.166830839	5.500610851	5.483949228
-12.43589744	0.4871794872	0.9042250616	1.055079501	1.166832845	5.655190776	5.638070614
-12.43589744	0.5384615385	0.9289412998	1.083920983	1.166834743	5.8097707	5.792191999
-12.43589744	0.5897435897	0.9536575379	1.112762466	1.166836544	5.964350625	5.946313385
-12.43589744	0.641025641	0.9783737761	1.141603948	1.166838253	6.11893055	6.100434771
-12.43589744	0.6923076923	1.003090014	1.170445431	1.166839879	6.273510475	6.254556156
-12.43589744	0.7435897436	1.027806252	1.199286913	1.166841426	6.428090399	6.408677542
-12.43589744	0.7948717949	1.05252249	1.228128395	1.1668429	6.582670324	6.562798927
-12.43589744	0.8461538462	1.077238729	1.256969878	1.166844307	6.737250249	6.716920313
-12.43589744	0.8974358974	1.101954967	1.28581136	1.166845651	6.891830174	6.871041699
-12.43589744	0.9487179487	1.126671205	1.314652843	1.166846935	7.046410098	7.025163084
-12.43589744	1	1.151387443	1.343494325	1.166848165	7.200990023	7.17928447
-11.92307692	-1	0.1664426972	0.1941837033	1.16667001	1.040963413	1.037667238
-11.92307692	-0.9487179487	0.1911589354	0.2230251857	1.166700292	1.195543337	1.191788623
-11.92307692	-0.8974358974	0.2158751735	0.2518666682	1.16672364	1.350123262	1.345910009
-11.92307692	-0.8461538462	0.2405914116	0.2807081506	1.16674219	1.504703187	1.500031395
-11.92307692	-0.7948717949	0.2653076498	0.309549633	1.166757284	1.659283112	1.65415278
-11.92307692	-0.7435897436	0.2900238879	0.3383911155	1.166769806	1.813863036	1.808274166
-11.92307692	-0.6923076923	0.3147401261	0.3672325979	1.166780361	1.968442961	1.962395551
-11.92307692	-0.641025641	0.3394563642	0.3960740803	1.166789379	2.123022886	2.116516937
-11.92307692	-0.5897435897	0.3641726024	0.4249155628	1.166797173	2.27760281	2.270638323
-11.92307692	-0.5384615385	0.3888888405	0.4537570452	1.166803976	2.432182735	2.424759708
-11.92307692	-0.4871794872	0.4136050787	0.4825985276	1.166809966	2.58676266	2.578881094
-11.92307692	-0.4358974359	0.4383213168	0.5114400101	1.16681528	2.741342585	2.733002479
-11.92307692	-0.3846153846	0.4630375549	0.5402814925	1.166820027	2.895922509	2.887123865
-11.92307692	-0.3333333333	0.4877537931	0.5691229749	1.166824293	3.050502434	3.04124525
-11.92307692	-0.2820512821	0.5124700312	0.5979644574	1.166828148	3.205082359	3.195366636
-11.92307692	-0.2307692308	0.5371862694	0.6268059398	1.166831648	3.359662284	3.349488022
-11.92307692	-0.1794871795	0.5619025075	0.6556474222	1.16683484	3.514242208	3.503609407
-11.92307692	-0.1282051282	0.5866187457	0.6844889047	1.166837763	3.668822133	3.657730793
-11.92307692	-0.07692307692	0.6113349838	0.7133303871	1.166840449	3.823402058	3.811852178
