# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.0686716792	0.1267954781	0.1485132863	1.171282198	0.7930023715	0.7936164002
-0.06541353383	0.1283657955	0.1503456963	1.171228642	0.8028234268	0.8034083228
-0.06215538847	0.1299361129	0.1521781063	1.17117638	0.8126444822	0.8132002454
-0.05889724311	0.1315064303	0.1540105162	1.171125366	0.8224655376	0.822992168
-0.05563909774	0.1330767477	0.1558429262	1.171075556	0.8322865929	0.8327840907
-0.05238095238	0.134647065	0.1576753362	1.171026908	0.8421076483	0.8425760133
-0.04912280702	0.1362173824	0.1595077462	1.170979381	0.8519287037	0.8523679359
-0.04586466165	0.1377876998	0.1613401561	1.170932938	0.8617497591	0.8621598585
-0.04260651629	0.1393580172	0.1631725661	1.170887541	0.8715708144	0.8719517811
-0.03934837093	0.1409283346	0.1650049761	1.170843156	0.8813918698	0.8817437038
-0.03609022556	0.142498652	0.1668373861	1.17079975	0.8912129252	0.8915356264
-0.0328320802	0.1440689694	0.168669796	1.170757289	0.9010339805	0.901327549
-0.02957393484	0.1456392867	0.170502206	1.170715744	0.9108550359	0.9111194716
-0.02631578947	0.1472096041	0.172334616	1.170675086	0.9206760913	0.9209113942
-0.02305764411	0.1487799215	0.174167026	1.170635286	0.9304971466	0.9307033169
-0.01979949875	0.1503502389	0.1759994359	1.170596317	0.940318202	0.9404952395
-0.01654135338	0.1519205563	0.1778318459	1.170558154	0.9501392574	0.9502871621
-0.01328320802	0.1534908737	0.1796642559	1.170520772	0.9599603127	0.9600790847
-0.01002506266	0.1550611911	0.1814966658	1.170484146	0.9697813681	0.9698710073
-0.006766917293	0.1566315084	0.1833290758	1.170448256	0.9796024235	0.9796629299
-0.00350877193	0.1582018258	0.1851614858	1.170413077	0.9894234788	0.9894548526
-0.0002506265664	0.1597721432	0.1869938958	1.17037859	0.9992445342	0.9992467752
