# VHH-NNLO SMEFT scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-4.984962406	0.3641385293	0.4252215075	1.16774654	2.277389711	2.272273212
-4.939849624	0.3622901529	0.4230668771	1.167757042	2.265829623	2.260759427
-4.894736842	0.3604417765	0.4209122468	1.167767651	2.254269535	2.249245642
-4.84962406	0.3585934001	0.4187576164	1.16777837	2.242709447	2.237731858
-4.804511278	0.3567450237	0.416602986	1.167789201	2.231149359	2.226218073
-4.759398496	0.3548966473	0.4144483556	1.167800144	2.219589272	2.214704288
-4.714285714	0.3530482709	0.4122937252	1.167811201	2.208029184	2.203190503
-4.669172932	0.3511998945	0.4101390948	1.167822375	2.196469096	2.191676719
-4.62406015	0.349351518	0.4079844645	1.167833667	2.184909008	2.180162934
-4.578947368	0.3475031416	0.4058298341	1.167845079	2.17334892	2.168649149
-4.533834586	0.3456547652	0.4036752037	1.167856614	2.161788832	2.157135365
-4.488721805	0.3438063888	0.4015205733	1.167868272	2.150228744	2.14562158
-4.443609023	0.3419580124	0.3993659429	1.167880057	2.138668656	2.134107795
-4.398496241	0.340109636	0.3972113126	1.167891969	2.127108569	2.12259401
-4.353383459	0.3382612596	0.3950566822	1.167904012	2.115548481	2.111080226
-4.308270677	0.3364128832	0.3929020518	1.167916187	2.103988393	2.099566441
-4.263157895	0.3345645068	0.3907474214	1.167928496	2.092428305	2.088052656
-4.218045113	0.3327161304	0.388592791	1.167940943	2.080868217	2.076538871
-4.172932331	0.330867754	0.3864381607	1.167953528	2.069308129	2.065025087
-4.127819549	0.3290193776	0.3842835303	1.167966255	2.057748041	2.053511302
-4.082706767	0.3271710012	0.3821288999	1.167979125	2.046187953	2.041997517
-4.037593985	0.3253226248	0.3799742695	1.167992142	2.034627865	2.030483733
-3.992481203	0.3234742484	0.3778196391	1.168005308	2.023067778	2.018969948
-3.947368421	0.321625872	0.3756650087	1.168018625	2.01150769	2.007456163
-3.902255639	0.3197774956	0.3735103784	1.168032096	1.999947602	1.995942378
-3.857142857	0.3179291192	0.371355748	1.168045723	1.988387514	1.984428594
-3.812030075	0.3160807428	0.3692011176	1.16805951	1.976827426	1.972914809
-3.766917293	0.3142323664	0.3670464872	1.168073459	1.965267338	1.961401024
-3.721804511	0.31238399	0.3648918568	1.168087573	1.95370725	1.94988724
-3.676691729	0.3105356136	0.3627372265	1.168101855	1.942147162	1.938373455
-3.631578947	0.3086872372	0.3605825961	1.168116309	1.930587075	1.92685967
-3.586466165	0.3068388608	0.3584279657	1.168130936	1.919026987	1.915345885
-3.541353383	0.3049904844	0.3562733353	1.168145741	1.907466899	1.903832101
-3.496240602	0.303142108	0.3541187049	1.168160726	1.895906811	1.892318316
-3.45112782	0.3012937316	0.3519640746	1.168175895	1.884346723	1.880804531
-3.406015038	0.2994453552	0.3498094442	1.168191251	1.872786635	1.869290746
-3.360902256	0.2975969788	0.3476548138	1.168206798	1.861226547	1.857776962
-3.315789474	0.2957486024	0.3455001834	1.16822254	1.849666459	1.846263177
-3.270676692	0.293900226	0.343345553	1.168238479	1.838106371	1.834749392
-3.22556391	0.2920518496	0.3411909226	1.16825462	1.826546284	1.823235608
-3.180451128	0.2902034732	0.3390362923	1.168270967	1.814986196	1.811721823
-3.135338346	0.2883550968	0.3368816619	1.168287523	1.803426108	1.800208038
-3.090225564	0.2865067204	0.3347270315	1.168304293	1.79186602	1.788694253
-3.045112782	0.284658344	0.3325724011	1.168321281	1.780305932	1.777180469
-3	0.2828099676	0.3304177707	1.168338491	1.768745844	1.765666684
-2.954887218	0.2809615912	0.3282631404	1.168355927	1.757185756	1.754152899
-2.909774436	0.2791132148	0.32610851	1.168373594	1.745625668	1.742639115
-2.864661654	0.2772648384	0.3239538796	1.168391497	1.734065581	1.73112533
-2.819548872	0.275416462	0.3217992492	1.16840964	1.722505493	1.719611545
-2.77443609	0.2735680856	0.3196446188	1.168428028	1.710945405	1.70809776
-2.729323308	0.2717197092	0.3174899885	1.168446667	1.699385317	1.696583976
-2.684210526	0.2698713328	0.3153353581	1.16846556	1.687825229	1.685070191
-2.639097744	0.2680229564	0.3131807277	1.168484715	1.676265141	1.673556406
-2.593984962	0.26617458	0.3110260973	1.168504135	1.664705053	1.662042621
-2.54887218	0.2643262036	0.3088714669	1.168523827	1.653144965	1.650528837
-2.503759398	0.2624778272	0.3067168365	1.168543796	1.641584877	1.639015052
-2.458646617	0.2606294508	0.3045622062	1.168564049	1.63002479	1.627501267
-2.413533835	0.2587810744	0.3024075758	1.16858459	1.618464702	1.615987483
-2.368421053	0.256932698	0.3002529454	1.168605428	1.606904614	1.604473698
-2.323308271	0.2550843216	0.298098315	1.168626567	1.595344526	1.592959913
-2.278195489	0.2532359452	0.2959436846	1.168648015	1.583784438	1.581446128
-2.233082707	0.2513875688	0.2937890543	1.168669778	1.57222435	1.569932344
-2.187969925	0.2495391923	0.2916344239	1.168691864	1.560664262	1.558418559
-2.142857143	0.2476908159	0.2894797935	1.168714279	1.549104174	1.546904774
-2.097744361	0.2458424395	0.2873251631	1.168737032	1.537544087	1.53539099
-2.052631579	0.2439940631	0.2851705327	1.168760129	1.525983999	1.523877205
-2.007518797	0.2421456867	0.2830159024	1.168783579	1.514423911	1.51236342
-1.962406015	0.2402973103	0.280861272	1.168807389	1.502863823	1.500849635
-1.917293233	0.2384489339	0.2787066416	1.168831569	1.491303735	1.489335851
-1.872180451	0.2366005575	0.2765520112	1.168856126	1.479743647	1.477822066
-1.827067669	0.2347521811	0.2743973808	1.168881071	1.468183559	1.466308281
-1.781954887	0.2329038047	0.2722427504	1.168906411	1.456623471	1.454794497
-1.736842105	0.2310554283	0.2700881201	1.168932156	1.445063383	1.443280712
-1.691729323	0.2292070519	0.2679334897	1.168958317	1.433503296	1.431766927
-1.646616541	0.2273586755	0.2657788593	1.168984903	1.421943208	1.420253142
-1.601503759	0.2255102991	0.2636242289	1.169011925	1.41038312	1.408739358
-1.556390977	0.2236619227	0.2614695985	1.169039394	1.398823032	1.397225573
-1.511278195	0.2218135463	0.2593149682	1.16906732	1.387262944	1.385711788
-1.466165414	0.2199651699	0.2571603378	1.169095716	1.375702856	1.374198003
-1.421052632	0.2181167935	0.2550057074	1.169124593	1.364142768	1.362684219
-1.37593985	0.2162684171	0.252851077	1.169153963	1.35258268	1.351170434
-1.330827068	0.2144200407	0.2506964466	1.16918384	1.341022593	1.339656649
-1.285714286	0.2125716643	0.2485418163	1.169214237	1.329462505	1.328142865
-1.240601504	0.2107232879	0.2463871859	1.169245167	1.317902417	1.31662908
-1.195488722	0.2088749115	0.2442325555	1.169276644	1.306342329	1.305115295
-1.15037594	0.2070265351	0.2420779251	1.169308683	1.294782241	1.29360151
-1.105263158	0.2051781587	0.2399232947	1.169341299	1.283222153	1.282087726
-1.060150376	0.2033297823	0.2377686643	1.169374509	1.271662065	1.270573941
-1.015037594	0.2014814059	0.235614034	1.169408328	1.260101977	1.259060156
-0.969924812	0.1996330295	0.2334594036	1.169442773	1.248541889	1.247546372
-0.9248120301	0.1977846531	0.2313047732	1.169477862	1.236981802	1.236032587
-0.8796992481	0.1959362767	0.2291501428	1.169513613	1.225421714	1.224518802
-0.8345864662	0.1940879003	0.2269955124	1.169550045	1.213861626	1.213005017
-0.7894736842	0.1922395239	0.2248408821	1.169587177	1.202301538	1.201491233
-0.7443609023	0.1903911475	0.2226862517	1.16962503	1.19074145	1.189977448
-0.6992481203	0.1885427711	0.2205316213	1.169663626	1.179181362	1.178463663
-0.6541353383	0.1866943947	0.2183769909	1.169702986	1.167621274	1.166949878
-0.6090225564	0.1848460183	0.2162223605	1.169743133	1.156061186	1.155436094
-0.5639097744	0.1829976419	0.2140677302	1.169784091	1.144501099	1.143922309
-0.5187969925	0.1811492655	0.2119130998	1.169825885	1.132941011	1.132408524
-0.4736842105	0.1793008891	0.2097584694	1.16986854	1.121380923	1.12089474
-0.4285714286	0.1774525127	0.207603839	1.169912085	1.109820835	1.109380955
-0.3834586466	0.1756041363	0.2054492086	1.169956545	1.098260747	1.09786717
-0.3383458647	0.1737557599	0.2032945782	1.170001952	1.086700659	1.086353385
-0.2932330827	0.1719073835	0.2011399479	1.170048335	1.075140571	1.074839601
-0.2481203008	0.1700590071	0.1989853175	1.170095727	1.063580483	1.063325816
-0.2030075188	0.1682106307	0.1968306871	1.17014416	1.052020395	1.051812031
-0.1578947368	0.1663622543	0.1946760567	1.170193669	1.040460308	1.040298247
-0.1127819549	0.1645138779	0.1925214263	1.170244291	1.02890022	1.028784462
-0.06766917293	0.1626655015	0.190366796	1.170296063	1.017340132	1.017270677
-0.02255639098	0.1608171251	0.1882121656	1.170349025	1.005780044	1.005756892
0.02255639098	0.1589687487	0.1860575352	1.170403219	0.9942199561	0.9942431076
0.06766917293	0.1571203723	0.1839029048	1.170458688	0.9826598682	0.9827293229
0.1127819549	0.1552719959	0.1817482744	1.170515478	0.9710997803	0.9712155382
0.1578947368	0.1534236195	0.1795936441	1.170573636	0.9595396924	0.9597017535
0.2030075188	0.151575243	0.1774390137	1.170633212	0.9479796045	0.9481879688
0.2481203008	0.1497268666	0.1752843833	1.17069426	0.9364195166	0.936674184
0.2932330827	0.1478784902	0.1731297529	1.170756833	0.9248594288	0.9251603993
0.3383458647	0.1460301138	0.1709751225	1.17082099	0.9132993409	0.9136466146
0.3834586466	0.1441817374	0.1688204921	1.170886793	0.901739253	0.9021328299
0.4285714286	0.142333361	0.1666658618	1.170954304	0.8901791651	0.8906190451
0.4736842105	0.1404849846	0.1645112314	1.171023592	0.8786190772	0.8791052604
